Category,product,Date,Price per unit,Count,promocode
Фрукты и овощи,Свежие фрукты,20.06.2022,69.0,6.0,ФР20ЫТ60
Закуски,Шоколадные конфеты,27.01.2022,288.0,24.0,ЗА27ЫТ10
Масло,Специи,06.05.2022,185.0,16.0,МА06ИИ50
Хлебобулочные изделия,Торты,10.03.2022,265.0,23.0,ХЛ10ЫТ30
Напитки,Прохладительные напитки,03.04.2022,191.0,16.0,НА03ИК40
Закуски,Шоколадные конфеты,11.04.2022,71.0,6.0,ЗА11ЫТ40
Фрукты и овощи,Свежие фрукты,04.02.2022,122.0,11.0,ФР04ЫТ20
Пищевые злаки,Крупа,07.05.2022,288.0,24.0,ПИ07АП50
Масло,Подсолнечное масло,14.03.2022,197.0,17.0,МА14ОЛ30
Напитки,Напитки для здоровья,09.03.2022,68.0,6.0,НА09ЯЬ30
Закуски,Печенье,14.06.2022,67.0,6.0,ЗА14ЕЬ60
"Яйца, мясо и рыба",Яйца,15.01.2022,70.0,6.0,ЯЙ15АЦ10
Фрукты и овощи,Свежие фрукты,04.05.2022,148.0,13.0,ФР04ЫТ50
Пищевые злаки,Крупы и бобовые,12.05.2022,186.0,16.0,ПИ12ЕЫ50
Хлебобулочные изделия,Хлеб и булочки,03.03.2022,278.0,24.0,ХЛ03ИК30
Масло,Топленое масло,17.06.2022,270.0,23.0,МА17ОЛ60
Фрукты и овощи,Свежие овощи,24.04.2022,145.0,13.0,ФР24ИЩ40
Закуски,Лапша,13.04.2022,303.0,26.0,ЗА13АШ40
Закуски,Шоколадные конфеты,11.06.2022,164.0,14.0,ЗА11ЫТ60
Фрукты и овощи,Органические фрукты,02.04.2022,116.0,10.0,ФР02ЫТ40
Фрукты и овощи,Органические овощи,01.04.2022,123.0,11.0,ФР01ИЩ40
Пищевые злаки,Рис,28.06.2022,113.0,10.0,ПИ28СИ60
"Яйца, мясо и рыба",Курица,04.02.2022,155.0,13.0,ЯЙ04АЦ20
Фрукты и овощи,Органические овощи,09.04.2022,156.0,13.0,ФР09ИЩ40
Хлебобулочные изделия,Торты,20.06.2022,82.0,7.0,ХЛ20ЫТ60
"Яйца, мясо и рыба",Баранина,25.04.2022,295.0,25.0,ЯЙ25АН40
Напитки,Безалкогольные напитки,20.02.2022,181.0,16.0,НА20ИК20
Выпечка,Хлеб и булочки,20.03.2022,122.0,11.0,ВЫ20ИК30
Фрукты и овощи,Органические овощи,05.01.2022,112.0,10.0,ФР05ИЩ10
"Яйца, мясо и рыба",Баранина,06.02.2022,294.0,25.0,ЯЙ06АН20
Масло,Специи,16.06.2022,162.0,14.0,МА16ИИ60
Пищевые злаки,Рис,06.04.2022,183.0,16.0,ПИ06СИ40
Пищевые злаки,Мука,31.05.2022,226.0,19.0,ПИ31АК50
Закуски,Шоколадные конфеты,21.05.2022,158.0,14.0,ЗА21ЫТ50
Напитки,Прохладительные напитки,17.05.2022,264.0,22.0,НА17ИК50
"Яйца, мясо и рыба",Рыба,23.05.2022,80.0,7.0,ЯЙ23АБ50
Хлебобулочные изделия,Торты,07.06.2022,208.0,18.0,ХЛ07ЫТ60
Напитки,Напитки для здоровья,12.06.2022,297.0,25.0,НА12ЯЬ60
Фрукты и овощи,Органические фрукты,12.02.2022,179.0,15.0,ФР12ЫТ20
Масло,Специи,22.03.2022,235.0,20.0,МА22ИИ30
"Яйца, мясо и рыба",Яйца,31.05.2022,109.0,10.0,ЯЙ31АЦ50
Закуски,Лапша,10.02.2022,138.0,12.0,ЗА10АШ20
"Яйца, мясо и рыба",Баранина,16.02.2022,136.0,12.0,ЯЙ16АН20
Хлебобулочные изделия,Печенье,24.05.2022,109.0,10.0,ХЛ24ЕЬ50
Масло,Подсолнечное масло,26.05.2022,311.0,26.0,МА26ОЛ50
Пищевые злаки,Мука,10.05.2022,167.0,14.0,ПИ10АК50
"Яйца, мясо и рыба",Рыба,16.05.2022,96.0,8.0,ЯЙ16АБ50
"Яйца, мясо и рыба",Баранина,07.03.2022,301.0,26.0,ЯЙ07АН30
Масло,Топленое масло,06.03.2022,194.0,17.0,МА06ОЛ30
Пищевые злаки,Органические основные продукты питания,09.05.2022,196.0,17.0,ПИ09ЯИ50
Фрукты и овощи,Свежие овощи,30.01.2022,141.0,12.0,ФР30ИЩ10
Напитки,Напитки для здоровья,27.03.2022,96.0,8.0,НА27ЯЬ30
"Яйца, мясо и рыба",Рыба,19.05.2022,249.0,21.0,ЯЙ19АБ50
Пищевые злаки,Рис,09.04.2022,286.0,24.0,ПИ09СИ40
Закуски,Шоколадные конфеты,22.01.2022,127.0,11.0,ЗА22ЫТ10
Закуски,Печенье,28.05.2022,107.0,9.0,ЗА28ЕЬ50
Пищевые злаки,Органические продукты питания,15.02.2022,155.0,13.0,ПИ15ЯИ20
Закуски,Лапша,25.02.2022,280.0,24.0,ЗА25АШ20
Фрукты и овощи,Свежие овощи,17.02.2022,274.0,23.0,ФР17ИЩ20
Закуски,Печенье,24.04.2022,140.0,12.0,ЗА24ЕЬ40
Масло,Топленое масло,24.03.2022,222.0,19.0,МА24ОЛ30
Напитки,Прохладительные напитки,07.04.2022,296.0,25.0,НА07ИК40
Пищевые злаки,Бобовые и макаронные культуры,27.03.2022,186.0,16.0,ПИ27ЫР30
Напитки,Безалкогольные напитки,09.04.2022,90.0,8.0,НА09ИК40
"Яйца, мясо и рыба",Рыба,14.04.2022,93.0,8.0,ЯЙ14АБ40
Закуски,Шоколадные конфеты,03.06.2022,126.0,11.0,ЗА03ЫТ60
Закуски,Печенье,07.01.2022,190.0,16.0,ЗА07ЕЬ10
Зерновые продукты,Мука,26.06.2022,181.0,16.0,ЗЕ26АК60
Напитки,Напитки для здоровья,04.01.2022,212.0,11.0,НА04ЯЬ10
Закуски,Шоколадные конфеты,27.05.2022,253.0,13.0,ЗА27ЫТ50
"Яйца, мясо и рыба",Баранина,04.04.2022,293.0,15.0,ЯЙ04АН40
Масло,Специи,17.04.2022,89.0,5.0,МА17ИИ40
"Яйца, мясо и рыба",Курица,25.04.2022,152.0,8.0,ЯЙ25АЦ40
Пищевые злаки,Крупа,02.02.2022,69.0,4.0,ПИ02АП20
Напитки,Напитки для здоровья,02.02.2022,177.0,9.0,НА02ЯЬ20
Пищевые злаки,Крупа,10.02.2022,99.0,5.0,ПИ10АП20
Фрукты и овощи,Органические овощи,27.02.2022,310.0,16.0,ФР27ИЩ20
Фрукты и овощи,Свежие овощи,29.06.2022,219.0,11.0,ФР29ИЩ60
Фрукты и овощи,Органические фрукты,10.02.2022,247.0,13.0,ФР10ЫТ20
Масло,Специи,19.02.2022,254.0,13.0,МА19ИИ20
Закуски,Лапша,03.04.2022,127.0,7.0,ЗА03АШ40
Фрукты и овощи,Органические фрукты,10.06.2022,87.0,5.0,ФР10ЫТ60
Пищевые злаки,Мука,26.03.2022,166.0,9.0,ПИ26АК30
Закуски,Печенье,23.05.2022,201.0,11.0,ЗА23ЕЬ50
Напитки,Напитки для здоровья,15.06.2022,215.0,11.0,НА15ЯЬ60
Масло,Топленое масло,30.05.2022,273.0,14.0,МА30ОЛ50
Пищевые злаки,Органические основные продукты питания,17.02.2022,73.0,4.0,ПИ17ЯИ20
Пищевые злаки,Крупа,19.01.2022,98.0,5.0,ПИ19АП10
Снеки,Лапша,11.03.2022,174.0,9.0,СН11АШ30
Хлебобулочные изделия,Торты,28.06.2022,283.0,15.0,ХЛ28ЫТ60
Напитки,Прохладительные напитки,24.04.2022,102.0,6.0,НА24ИК40
Фрукты и овощи,Органические фрукты,18.02.2022,252.0,13.0,ФР18ЫТ20
Напитки,Прохладительные напитки,25.06.2022,180.0,9.0,НА25ИК60
Фрукты и овощи,Органические фрукты,26.06.2022,262.0,14.0,ФР26ЫТ60
Фрукты и овощи,Свежие овощи,08.04.2022,269.0,14.0,ФР08ИЩ40
Напитки,Напитки для здоровья,27.05.2022,247.0,13.0,НА27ЯЬ50
Масло,Подсолнечное масло,30.03.2022,258.0,13.0,МА30ОЛ30
"Яйца, мясо и рыба",Яйца,27.04.2022,147.0,8.0,ЯЙ27АЦ40
Масло,Топленое масло,16.06.2022,126.0,7.0,МА16ОЛ60
Хлебобулочные изделия,Хлеб и булочки,12.01.2022,177.0,9.0,ХЛ12ИК10
Пищевые злаки,Органические продукты питания,05.05.2022,115.0,6.0,ПИ05ЯИ50
"Яйца, мясо и рыба",Баранина,12.01.2022,169.0,9.0,ЯЙ12АН10
